	SRR15570324	SRR15570325	SRR15570326	SRR15570327
ASV_225	0	0	0	52
ASV_226	49	0	0	0
ASV_227	40	0	0	9
ASV_228	0	0	0	49
ASV_229	24	0	23	0
ASV_230	0	17	0	30
ASV_231	0	0	46	0
ASV_232	45	0	0	0
ASV_233	0	45	0	0
ASV_234	0	17	0	28
ASV_235	0	0	45	0
ASV_236	0	0	45	0
ASV_237	0	44	0	0
ASV_238	0	0	44	0
ASV_239	0	0	0	44
ASV_240	0	43	0	0
ASV_241	0	43	0	0
ASV_242	0	0	0	43
ASV_243	0	42	0	0
ASV_244	0	42	0	0
ASV_245	41	0	0	0
ASV_246	41	0	0	0
ASV_247	0	41	0	0
ASV_248	0	0	0	41
ASV_249	40	0	0	0
ASV_250	40	0	0	0
ASV_251	40	0	0	0
ASV_252	0	40	0	0
ASV_253	0	0	0	40
ASV_254	0	0	0	40
ASV_255	0	0	0	40
ASV_256	0	39	0	0
ASV_257	0	38	0	0
ASV_258	0	0	0	38
ASV_259	0	37	0	0
ASV_260	0	0	37	0
ASV_261	0	0	37	0
ASV_262	36	0	0	0
ASV_263	22	0	14	0
ASV_264	0	27	0	9
ASV_265	0	0	0	36
ASV_266	0	33	0	2
ASV_267	0	0	0	35
ASV_268	0	0	0	35
ASV_269	25	9	0	0
ASV_270	0	11	0	23
ASV_271	0	0	0	34
ASV_272	33	0	0	0
ASV_273	12	0	21	0
ASV_274	9	0	24	0
ASV_275	0	13	0	20
ASV_276	0	8	0	25
ASV_277	0	0	0	33
ASV_278	0	0	0	33
ASV_279	0	0	0	33
ASV_280	32	0	0	0
ASV_281	0	32	0	0
ASV_282	0	15	0	17
ASV_283	0	0	32	0
ASV_284	31	0	0	0
ASV_285	0	31	0	0
ASV_286	0	11	0	20
ASV_287	0	0	31	0
ASV_288	30	0	0	0
ASV_289	30	0	0	0
ASV_290	9	0	21	0
ASV_291	0	30	0	0
ASV_292	0	0	30	0
ASV_293	0	29	0	0
ASV_294	0	0	0	29
ASV_295	0	0	0	29
ASV_296	0	0	0	29
ASV_297	20	0	8	0
ASV_298	0	28	0	0
ASV_299	0	28	0	0
ASV_300	0	0	27	0
ASV_301	0	25	0	0
ASV_302	0	25	0	0
ASV_303	0	24	0	0
ASV_304	0	24	0	0
ASV_305	0	24	0	0
ASV_306	0	19	0	5
ASV_307	0	0	24	0
ASV_308	0	0	0	24
ASV_309	0	0	0	24
ASV_310	23	0	0	0
ASV_311	0	0	0	23
ASV_312	22	0	0	0
ASV_313	22	0	0	0
ASV_314	0	22	0	0
ASV_315	0	22	0	0
ASV_316	0	22	0	0
ASV_317	0	16	0	6
ASV_318	0	0	22	0
ASV_319	0	0	22	0
ASV_320	0	0	0	22
ASV_321	9	12	0	0
ASV_322	0	4	0	17
ASV_323	0	0	21	0
ASV_324	0	0	0	21
ASV_325	0	0	0	21
ASV_326	0	0	20	0
ASV_327	0	0	20	0
ASV_328	0	0	20	0
ASV_329	0	19	0	0
ASV_330	0	14	0	5
ASV_331	0	13	0	6
ASV_332	0	4	0	15
ASV_333	0	0	0	19
ASV_334	0	0	0	19
ASV_335	0	0	0	19
ASV_336	0	18	0	0
ASV_337	0	18	0	0
ASV_338	0	18	0	0
ASV_339	0	0	0	18
ASV_340	0	0	0	18
ASV_341	0	0	0	18
ASV_342	0	0	0	18
ASV_343	17	0	0	0
ASV_344	0	17	0	0
ASV_345	0	0	17	0
ASV_346	0	0	0	17
ASV_347	16	0	0	0
ASV_348	0	16	0	0
ASV_349	0	16	0	0
ASV_350	0	16	0	0
ASV_351	0	16	0	0
ASV_352	0	16	0	0
ASV_353	0	0	16	0
ASV_354	0	0	0	16
ASV_355	0	0	0	16
ASV_356	0	0	0	16
ASV_357	15	0	0	0
ASV_358	15	0	0	0
ASV_359	0	15	0	0
ASV_360	0	9	0	6
ASV_361	0	0	15	0
ASV_362	0	0	15	0
ASV_363	0	0	0	15
ASV_364	14	0	0	0
ASV_365	0	14	0	0
ASV_366	0	14	0	0
ASV_367	0	14	0	0
ASV_368	0	0	14	0
ASV_369	0	0	0	14
ASV_370	0	0	0	14
ASV_371	0	0	0	14
ASV_372	0	0	0	14
ASV_373	0	0	0	14
ASV_374	13	0	0	0
ASV_375	13	0	0	0
ASV_376	0	4	0	9
ASV_377	0	0	13	0
ASV_378	0	0	13	0
ASV_379	0	0	13	0
ASV_380	0	0	13	0
ASV_381	0	0	0	13
ASV_382	0	0	0	13
ASV_383	12	0	0	0
ASV_384	12	0	0	0
ASV_385	4	2	4	2
ASV_386	0	12	0	0
ASV_387	0	12	0	0
ASV_388	0	12	0	0
ASV_389	0	12	0	0
ASV_390	0	0	12	0
ASV_391	11	0	0	0
ASV_392	6	5	0	0
ASV_393	4	0	7	0
ASV_394	0	11	0	0
ASV_395	0	11	0	0
ASV_396	0	11	0	0
ASV_397	0	11	0	0
ASV_398	0	0	0	11
ASV_399	10	0	0	0
ASV_400	0	10	0	0
ASV_401	0	10	0	0
ASV_402	0	10	0	0
ASV_403	0	10	0	0
ASV_404	0	5	0	5
ASV_405	0	0	10	0
ASV_406	0	0	10	0
ASV_407	0	0	10	0
ASV_408	0	0	10	0
ASV_409	0	0	10	0
ASV_410	0	0	0	10
ASV_411	0	0	0	10
ASV_412	0	0	0	10
ASV_413	0	0	0	10
ASV_414	9	0	0	0
ASV_415	9	0	0	0
ASV_416	0	9	0	0
ASV_417	0	9	0	0
ASV_418	0	9	0	0
ASV_419	0	0	9	0
ASV_420	0	0	9	0
ASV_421	0	0	0	9
ASV_422	0	0	0	9
ASV_423	0	0	0	9
ASV_424	0	8	0	0
ASV_425	0	8	0	0
ASV_426	0	8	0	0
ASV_427	0	8	0	0
ASV_428	0	8	0	0
ASV_429	0	8	0	0
ASV_430	0	8	0	0
ASV_431	0	0	8	0
ASV_432	0	0	8	0
ASV_433	0	0	8	0
ASV_434	0	0	8	0
ASV_435	0	0	0	8
ASV_436	0	0	0	8
ASV_437	0	0	0	8
ASV_438	0	0	0	8
ASV_439	0	7	0	0
ASV_440	0	7	0	0
ASV_441	0	7	0	0
ASV_442	0	7	0	0
ASV_443	0	7	0	0
ASV_444	0	0	7	0
ASV_445	0	0	7	0
ASV_446	0	0	0	7
ASV_447	0	0	0	7
ASV_448	0	0	0	7
ASV_449	6	0	0	0
ASV_450	6	0	0	0
ASV_451	6	0	0	0
ASV_452	6	0	0	0
ASV_453	0	6	0	0
ASV_454	0	6	0	0
ASV_455	0	6	0	0
ASV_456	0	6	0	0
ASV_457	0	6	0	0
ASV_458	0	6	0	0
ASV_459	0	6	0	0
ASV_460	0	0	6	0
ASV_461	0	0	6	0
ASV_462	0	0	6	0
ASV_463	0	0	0	6
ASV_464	0	0	0	6
ASV_465	0	0	0	6
ASV_466	0	0	0	6
ASV_467	5	0	0	0
ASV_468	5	0	0	0
ASV_469	5	0	0	0
ASV_470	5	0	0	0
ASV_471	5	0	0	0
ASV_472	0	5	0	0
ASV_473	0	5	0	0
ASV_474	0	5	0	0
ASV_475	0	5	0	0
ASV_476	0	5	0	0
ASV_477	0	5	0	0
ASV_478	0	5	0	0
ASV_479	0	5	0	0
ASV_480	0	5	0	0
ASV_481	0	0	5	0
ASV_482	0	0	5	0
ASV_483	0	0	5	0
ASV_484	0	0	5	0
ASV_485	0	0	0	5
ASV_486	0	0	0	5
ASV_487	0	0	0	5
ASV_488	0	0	0	5
ASV_489	4	0	0	0
ASV_490	4	0	0	0
ASV_491	4	0	0	0
ASV_492	0	4	0	0
ASV_493	0	4	0	0
ASV_494	0	4	0	0
ASV_495	0	4	0	0
ASV_496	0	4	0	0
ASV_497	0	4	0	0
ASV_498	0	4	0	0
ASV_499	0	4	0	0
ASV_500	0	4	0	0
ASV_501	0	4	0	0
ASV_502	0	4	0	0
ASV_503	0	0	4	0
ASV_504	0	0	4	0
ASV_505	0	0	4	0
ASV_506	0	0	0	4
ASV_507	0	0	0	4
ASV_508	0	0	0	4
ASV_509	0	0	0	4
ASV_510	0	0	0	4
ASV_511	3	0	0	0
ASV_512	0	3	0	0
ASV_513	0	3	0	0
ASV_514	0	3	0	0
ASV_515	0	3	0	0
ASV_516	0	3	0	0
ASV_517	0	3	0	0
ASV_518	0	3	0	0
ASV_519	0	3	0	0
ASV_520	0	0	3	0
ASV_521	0	0	3	0
ASV_522	0	0	0	3
ASV_523	0	0	0	3
ASV_524	0	0	0	3
ASV_525	2	0	0	0
ASV_526	2	0	0	0
ASV_527	2	0	0	0
ASV_528	0	2	0	0
ASV_529	0	2	0	0
ASV_530	0	2	0	0
ASV_531	0	2	0	0
ASV_532	0	2	0	0
ASV_533	0	2	0	0
ASV_534	0	2	0	0
ASV_535	0	2	0	0
ASV_536	0	0	2	0
ASV_537	0	0	2	0
ASV_538	0	0	2	0
ASV_539	0	0	0	2
ASV_540	0	0	0	2
ASV_541	0	0	0	2
ASV_542	0	0	0	2
ASV_543	0	0	0	2
ASV_544	0	0	0	2
