names,Run,year,month,date,pH,location,heat,temperature
20210823FCH4,SRR15570324,2021,08,23,8.63,FC,hot,66.5
20210823FCC5,SRR15570325,2021,08,23,8.93,FC,cool,46.4
20210823JJH6,SRR15570326,2021,08,23,8.91,JJ,hot,70
20210823JJC7,SRR15570327,2021,08,23,9.09,JJ,cool,48.3
